Код_ИАТА	Внутр._код	Населённый_пункт	Регион	Название_аэропорта
NJC	НЖВ	Нижневартовск	Ханты-Мансийский АО	Нижневартовск
NBC	НЖК	Нижнекамск, город	Татарстан	Бегишево
GOJ	НЖС	Нижний Новгород	Нижегородская область	Стригино
NLI	НЛК	Николаевск-на-Амуре	Хабаровский край	Николаевск-на-Амуре
	НИК	Никольское	Камчатский край	Никольское
NOZ	НВК	Новокузнецк	Кемеровская область	Спиченково
	НВЦ	Новосибирск, город	Новосибирская область	Ельцовка
OVB	ТЛЧ	Новосибирск, город	Новосибирская область	Толмачёво
NUX	НУР	Новый Уренгой	Ямало-Ненецкий АО	Новый Уренгой
NGK	НГЛ	Ноглики	Сахалинская область	Ноглики
NSK	НАК	Норильск	Красноярский край	Алыкель
NOJ	НОЯ	Ноябрьск	Ямало-Ненецкий АО	Ноябрьск
	НЮК	Нюксеница	Вологодская область	Нюксеница
NYA	НЯГ	Нягань	Ханты-Мансийский АО	Нягань
OKT	ОКТ	Октябрьский	Башкортостан	Октябрьский
OLZ	ОЛК	Олёкминск	Якутия	Олёкминск
	ОМВ	Омск, город	Омская область	Омск-Северный
OMS	ОМС	Омск, город	Омская область	Омск-Центральный
	ОНА	Онега	Архангельская область	Онега
REN	ОНГ	Оренбург, город	Оренбургская область	Оренбург-Центральный
OSW	ОСК	Орск	Оренбургская область	Орск
OHH	ОХА	Оха	Сахалинская область	Оха
OHO	ОХТ	Охотск	Хабаровский край	Охотск
	ПАН	Палана	Камчатский край	Палана
PWE	ПЕВ	Певек	Чукотский АО	Певек
PEZ	ПНА	Пенза, город	Пензенская область	Пенза
PEE	ПРЬ	Пермь, город	Пермский край	Большое Савино
PES	ПТБ	Петрозаводск	Карелия	Бесовец
	ПТД	Петрозаводск	Карелия	Пески
PKC	ПРЛ	Петропавловск-Камчатский	Камчатский край	Елизово
PEX	ПЧР	Печора	Коми	Печора
		Пионерный, вахтовый посёлок	Томская область	Пионерный[6][7]
PVS	ПРД	Провидения	Чукотский АО	Бухта Провидения
PKV	ПСК	Псков	Псковская область	Псков
	ПШН	Пушкин	Санкт-Петербург	Пушкин
ROV	РОВ	Ростов-на-Дону, город	Ростовская область	Платов
RYB	РБН	Рыбинск	Ярославская область	Староселье
SBT	СБТ	Сабетта	Ямало-Ненецкий АО	Сабетта
SLY	СХД	Салехард	Ямало-Ненецкий АО	Салехард
KUF	СКЧ	Самара, город	Самарская область	Курумоч
LED, RHV	ПЛК	Санкт-Петербург		Пулково , Ржевка (МВЛ)
SKX	СРН	Саранск	Мордовия	Саранск
RTW	СРО	Саратов, город	Саратовская область	Саратов-Центральный
		Сибай	Башкортостан	Сибай
SIP	СИП	Симферополь	Республика Крым	Симферополь
GVN	СОГ	Советская Гавань	Хабаровский край	Май-Гатка
OVS	СОЙ	Советский	ХМАО	Советский
